Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Decking paint pad,31359
Decking paint pad refill,31360
Long reach paint pad,31357
Long reach paint pad refill,31358
Paint pad,32390
Paint pad refill,32395
Paint roller grid,12790
Roller tray,25146
Radiator roller frame,35149
Roller frame,25145
Extension pole,25144
Decorating set,33984
Roller kit,25143
Roller set,13024
Angled paint brush,29710
Artist's paint brush,29711
Block paint brush,29712
Flat paint brush,12279
Long reach paint brush,29713
Paint brush,12788
Sash brush,34035
Spalter brush,23629
Swan neck paint brush,33983
Paint kettle,25086
Paint & varnish remover,30419
Paint remover,25084
"Paint, varnish & lacquer remover",32393
Varnish remover,25087
Decorators fillers,25083
Repair filler,31469
Sugar soap,25082
Steel wool,25081
Pasting table,25078
Dust sheet,23619
Hard surface protector roll,33062
Protective cushioned roll,33063
Protective cushioned sheet,33065
Protector roll,33485
Surface cover,25077
Tape & drape,36562
Tape & drape masking film,33064
Wallpaper hanging kit,25076
Epoxy thinner,35980
Road marking paint,35711
Heat resistant paint,35482
Pond & swimming pool paint,35484
Pond paint,35485
Swimming pool paint,35483
Antifouling paint,35481
Fence & shed paint,35477
Fence paint,35475
Shed paint,35476
Tester,35268
Liquid paint pigment,34714
Paint tint,34780
Epoxy paint,35163
Emulsion paint base,32079
Paint base,13277
Stain base,35395
Grout pen,30237
Leafing pen,13071
Paint pen,13069
Retouching pen,17568
Scratch remover,33124
Enamel paint,13206
Emergency roof & gutter sealer,13048
Emergency roof repair aerosol,13050
Emergency roof repair mastic,13052
Fibrepol roof sealant,13054
Liquid rubber roof sealant,13056
One-coat water seal,13063
Roof & gutter sealant,24093
Roof sealant,13067
Anti-damp paint,32409
Anti-germ paint,25701
Anti-mould paint,13046
Damp block paint,13185
Damp seal paint,29800
Stain block paint,29801
Stain seal paint,32404
Waterproofing paint,32412
Bare plaster paint,35418
Chalkwash paint,33891
Contract emulsion,35417
Emulsion paint,13204
Vinyl emulsion,35419
Wall paint,33892
Anti-rust metal paint,34018
Garden wood paint,13243
Metal & wood paint,28068
Metal paint,13267
Paint,12870
Trim paint,32078
Wood paint,13361
Decking paint,13045
Chalkboard paint,13037
Erase paint kit,13042
Masonry paint,13265
Storage trolley,12703
Basin cabinet & mirror set,33043
Corner shelf,17663
Shelf,13307
Shelving,25479
Cornice,22135
Cornice & pelmet,29399
Cloakroom vanity unit & basin set,25250
Vanity unit & basin set,25249
Vanity unit with mirror & basin set,36728
Toilet unit,31969
Vanity & toilet unit,31977
Basin,11920
Cabinet,11996
Corner cabinet,22561
Drawer cabinet,32869
Sink cabinet,33851
Basin cabinet,25602
Cloakroom unit,32788
Vanity unit & cabinet,36428
Drawer base unit,31967
Drawer unit,33850
Vanity fascia,25153
Worktop,7659
Column cabinet,36422
Medicine cabinet,36423
Open cabinet,36567
Over toilet cabinet,36424
Wall bridging cabinet,36426
Wall cabinet,12836
Wall corner cabinet,36425
Fascia,31965
Bathroom drawer front,31964
Corner panel,22134
Decorative panel,12131
Panel,13281
Panels,8713
Vertical split panel,28838
Basin vanity worktop,24919
Self-closing tap,25202
Commercial basin,25199
Bath shower mixer tap with shower kit,35576
Mixer tap with shower kit,35853
Mono mixer tap with shower kit,35854
Sensor tap,33825
Tap adaptor,33576
Tap reinforcing plate,25758
Tap extender,32883
Tap extension leg,25756
Reviver Kit,25755
Overflow bath filler,25754
Shower curtain clip,36509
Bath headrest,36464
Towel ladder,13340
Bathroom scales,25266
Bathroom mirror,11936
Canopy mirror,31972
Colour-changing mirror,31979
Shaving mirror,25340
Paper towel multi-fold dispenser,35143
Paper towel roll dispenser,35144
Freestanding towel rail,34832
Bathroom fixing kit,34885
Bath mat,11925
Bath mat pieces,11926
Shower ring,12540
Toilet brush holder,33947
Toilet roll & brush holder,31970
Mirror,31558
Pedal bin & toilet brush,32944
Soap dispenser holder,33378
Toilet brush,25439
Toilet brush head,33593
Overflow trim,33551
Basket,13528
Box,13164
Cotton holder,33595
Hair dryer holder,21170
Jewellery & cosmetic box,31995
Jewellery box,33599
Makeup organiser,31998
Organiser,22591
Rail with baskets,31999
Shower storage rail,34927
Storage box,17654
Swivel organiser,32893
Tray,13345
Under-basin caddie,32000
Wire basket,29923
Bathroom sound system,25598
Bath & shower mat,33597
Bathroom floor mat,33601
Drawer liner,26163
Pedestal mat,34572
Shower mat,33602
Digital analyser scales,34924
Digital bathroom scales,33598
Doctors scale,31973
Vanity box,25121
Bathroom door basket,25605
Bathroom wall & door basket,25606
Bathroom wall basket,25604
Light pull,25067
Cabinet feet,30266
Cabinet legs,26170
Feet,28882
Feet base,32787
Vanity unit feet,31976
Corner basket,25047
Cosmetic basket,25048
Extendable bath cradle,25049
Hook over basket,25050
Large corner basket,25051
Medium corner basket,25052
Shower basket,25053
Small corner basket,25054
Storage basket,25055
